id,qtde_regioes,area,perimetro,circularidade_almofada,especie
086,5,13086.0,1415.6610289812088,0.3904889986971219,lince-pardo
087,5,11203.0,1256.6072062253952,0.44630216707849363,lince-pardo
088,5,15689.0,1501.4011425971985,0.31899003551324323,lince-pardo
089,5,8264.5,1051.1929918527603,0.3769910051476998,lince-pardo
090,5,19288.5,1434.4722102880478,0.6793748487083863,lince-pardo
091,5,11104.5,903.050859451294,0.6624053920521908,lince-pardo
092,5,12573.5,1186.5067009925842,0.49039890867296126,lince-pardo
093,5,12900.0,1366.7737245559692,0.43516859885827985,lince-pardo
094,5,17261.0,1246.4305797815323,0.5895440256726061,lince-pardo
095,5,15909.0,1455.5432778596878,0.4713037707087636,lince-pardo
096,5,19232.5,1585.6437828540802,0.42975708065011387,lince-pardo
097,5,11536.0,1275.4600188732147,0.3648697701273605,lince-pardo
098,5,12071.5,1039.5361396074295,0.584647207741049,lince-pardo
099,5,13630.5,1306.5310868024826,0.47686210393985123,lince-pardo
100,5,12602.5,1163.0752421617508,0.43685206643049085,lince-pardo
101,5,12727.5,1353.1341181993484,0.5292815374698268,lince-pardo
102,5,12926.5,1275.8204085826874,0.4556101717640727,lince-pardo
103,5,11363.5,1293.5605236291885,0.4162731815223051,lince-pardo
104,5,10716.0,1096.4650710821152,0.6542810989606871,lince-pardo
105,5,13535.5,1290.4478249549866,0.35987735249364317,lince-pardo
106,5,14529.0,1127.317881345749,0.3717698082182797,lince-pardo
107,5,12205.5,1170.7909718751907,0.4211986464539355,lince-pardo
108,5,22018.0,1440.7981126308441,0.5036538995012567,lince-pardo
109,5,18766.5,1514.9818770885468,0.4459526588043048,lince-pardo
110,5,11690.5,1147.6193987131119,0.3460625579610904,lince-pardo
111,5,12012.0,1135.0336117744446,0.36142482767636674,lince-pardo
112,5,11956.0,1098.0630487203598,0.5785606987396706,lince-pardo
113,5,9953.5,1204.7077096700668,0.4594989970516647,lince-pardo
114,5,10455.0,1220.5483310222626,0.4541701485106414,lince-pardo
115,5,10621.5,1174.163555264473,0.3990141871608089,lince-pardo
116,5,13093.0,1092.2640603780746,0.4670861530097106,lince-pardo
117,5,18241.5,1461.584909439087,0.3458290582912349,lince-pardo
118,5,12136.5,1128.7320972681046,0.34519137635567004,lince-pardo
119,5,14277.0,1271.4600193500519,0.5106613484708891,lince-pardo
120,5,13105.0,1238.63159263134,0.43056541123078423,lince-pardo
121,5,10435.0,989.1513625383377,0.4399566155601877,lince-pardo
122,5,19742.5,1442.4965969324112,0.558402267376374,lince-pardo
123,5,10811.5,1132.790973186493,0.4671318740505299,lince-pardo
124,5,14297.5,1296.330076098442,0.4416158700607315,lince-pardo
125,5,13544.0,1193.1757467985153,0.46371132494599737,lince-pardo
126,5,13332.5,1097.4772645235062,0.4873920701011996,lince-pardo
127,5,12339.5,1311.2762515544891,0.5128209025840343,lince-pardo
128,5,14882.5,1599.3838971853256,0.3870012671391968,lince-pardo
129,5,17480.0,1395.5432788133621,0.6163705703332975,lince-pardo
130,5,12635.5,1342.0214189291,0.4269372651626016,lince-pardo
131,5,15783.0,1425.7442897558212,0.47870169818860353,lince-pardo
132,5,12733.5,1140.104680299759,0.3393186309675005,lince-pardo
133,5,12328.5,1085.9036691188812,0.3748670277715974,lince-pardo
134,5,11337.0,1038.5483313798904,0.3513498561596836,lince-pardo
135,5,10975.5,1023.2762528657913,0.5247139530060925,lince-pardo
136,5,10330.5,1163.2762523889542,0.40791741259537917,lince-pardo
137,5,12988.5,1249.3595132827759,0.44127941013521366,lince-pardo
138,5,9645.0,1142.5483318567276,0.419786035374814,lince-pardo
139,5,17199.5,1982.5798561573029,0.5766675461456603,lince-pardo
140,5,9314.0,1039.9797888994217,0.2954725644679418,lince-pardo
141,5,15210.0,1375.116871714592,0.5920416517330459,lince-pardo
142,5,13102.0,1284.1706960201263,0.3561588619488074,lince-pardo
143,5,11266.0,1206.7493416070938,0.4453687402167018,lince-pardo
144,5,16784.0,1201.8031635284424,0.3998809248369794,lince-pardo
145,5,14539.5,1541.8691782951355,0.3295394336791092,lince-pardo
146,5,11101.5,1187.9625445604324,0.40228003415907465,lince-pardo
147,5,11325.0,1025.2346225976944,0.5277656507960875,lince-pardo
148,5,9897.0,1110.2640600204468,0.39033040445336425,lince-pardo
149,5,10693.5,1750.7808656692505,0.13852374676516818,lince-pardo
150,5,14045.0,1181.6021542549133,0.5763672085008436,lince-pardo
151,5,13944.0,1240.5727169513702,0.4902162239357116,lince-pardo
152,5,9519.0,1033.61225938797,0.35093940306335747,lince-pardo
153,5,12470.5,1293.536139845848,0.4668855014295483,lince-pardo
154,5,13973.0,1289.2934975624084,0.5436883535255208,lince-pardo
155,5,9312.5,913.3940019607544,0.3885740426508498,lince-pardo
156,5,9857.0,899.6366423368454,0.42708675482760583,lince-pardo
157,5,10483.5,914.908721446991,0.4347476425498213,lince-pardo
158,5,16173.0,1410.229570865631,0.33018470702124664,lince-pardo
159,5,14817.5,1248.045805811882,0.46875674091014763,lince-pardo
160,5,17249.0,1088.4894555807114,0.7045141248222958,lince-pardo
161,5,15324.0,1170.264060497284,0.5919434929269931,lince-pardo
162,5,16848.5,1219.84479534626,0.5677945380606952,lince-pardo
163,5,16619.5,1283.9869307279587,0.45965816633106615,lince-pardo
164,2,11465.0,986.8670914173126,0.286965142941352,veado-da-virginia
165,2,6254.0,962.2396742105484,0.17300226469082167,veado-da-virginia
166,2,7698.0,637.7888844013214,0.46457469150308056,veado-da-virginia
167,2,11604.0,892.5239493846893,0.3005289727123139,veado-da-virginia
168,2,17399.0,818.9259679317474,0.4204179445302013,veado-da-virginia
169,2,12271.5,1193.1929918527603,0.22100923455526406,veado-da-virginia
170,2,11518.0,1021.3767603635788,0.20982909102201858,veado-da-virginia
171,2,9479.0,945.813269495964,0.3371447906917073,veado-da-virginia
172,2,7802.0,985.7543931007385,0.1915578947870109,veado-da-virginia
173,2,8031.5,711.3696186542511,0.35992712876062866,veado-da-virginia
174,2,7212.0,983.5533831119537,0.16337267819817056,veado-da-virginia
175,2,9312.5,1087.5950125455856,0.18036297834030973,veado-da-virginia
176,2,6560.5,819.9970337152481,0.2276003860697811,veado-da-virginia
177,2,8110.0,916.8082164525986,0.1729380921096599,veado-da-virginia
178,2,15276.5,1228.104679942131,0.1695590833997732,veado-da-virginia
179,2,13350.0,1217.293496966362,0.26877367899277943,veado-da-virginia
180,2,10274.5,974.5655752420425,0.3008352803347792,veado-da-virginia
181,2,16678.5,1342.9331064224243,0.2634380172636656,veado-da-virginia
182,2,10129.5,1187.1929922103882,0.16466036594345188,veado-da-virginia
183,2,8562.0,1069.4945075511932,0.15764369292364747,veado-da-virginia
184,2,9286.0,818.357425570488,0.23166220450049038,veado-da-virginia
185,2,11872.5,1206.707712173462,0.26455353117497155,veado-da-virginia
186,2,11267.5,958.1980443000793,0.21065989552105097,veado-da-virginia
187,2,12800.0,1221.7787783145905,0.17778156735015826,veado-da-virginia
188,2,8633.5,877.2274827957153,0.19235791311363026,veado-da-virginia
189,2,15119.5,771.9137749671936,0.4483157910963484,veado-da-virginia
190,2,7812.0,964.70057117939,0.14594985599165616,veado-da-virginia
191,2,12984.5,1055.1097322702408,0.15029837666983925,veado-da-virginia
192,2,13902.0,1100.9747363328934,0.1981539213495266,veado-da-virginia
193,2,21495.5,1321.9625451564789,0.2029199223352409,veado-da-virginia
194,2,10721.5,972.2569206953049,0.15855834151744475,veado-da-virginia
195,2,17076.5,1039.5117532014847,0.3206468821107962,veado-da-virginia
196,2,10964.5,821.7716392278671,0.3455900381481359,veado-da-virginia
197,2,7982.5,628.2569221258163,0.38783039710360395,veado-da-virginia
198,2,21987.0,1171.6366438865662,0.31264235280838165,veado-da-virginia
199,2,20826.5,1092.9087224006653,0.2974169046013284,veado-da-virginia
200,2,14084.5,953.2518672943115,0.37597438581470527,veado-da-virginia
201,2,10792.0,1392.4061955213547,0.1587198885768925,veado-da-virginia
202,2,10888.5,1079.3696172237396,0.24664064692125362,veado-da-virginia
203,2,14454.5,1523.4427720308304,0.1550744317787654,veado-da-virginia
